CID,unique_key,agency,agency_name,complaint_type,status,city,borough,incident_zip,latitude,longitude,Created_Year,Created_Month,Created_Month_Number,Created_Day,Created_Date,Closed_Year,Closed_Month,Closed_Month_Number,Closed_Day,Closed_Date,state
0,45244842,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Ridgewood,Queens,11385,40.70475321,-73.88497841,2019,December,12,25,2019-12-25,2020,January,1,3,2020-01-03,NY
1,17573251,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11208,40.67258229,-73.87754275,2010,July,7,3,2010-07-03,2010,July,7,6,2010-07-06,NY
2,43202583,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bayside,Queens,11360,40.77435649,-73.78037073,2019,July,7,5,2019-07-05,2019,July,7,9,2019-07-09,NY
3,17574216,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11223,40.6064722,-73.98326069,2010,July,7,3,2010-07-03,2010,July,7,22,2010-07-22,NY
4,45245555,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bellerose,Queens,11426,40.73369602,-73.72207931,2019,December,12,26,2019-12-26,2020,March,3,31,2020-03-31,NY
5,45245562,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10466,40.89152155,-73.85388673,2019,December,12,26,2019-12-26,2020,September,9,25,2020-09-25,NY
6,39498033,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11208,40.68560339,-73.87742509,2018,June,6,19,2018-06-19,2019,October,10,20,2019-10-20,NY
7,17574396,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bayside,Queens,11360,40.7836576,-73.77708293,2010,July,7,3,2010-07-03,2010,September,9,10,2010-09-10,NY
8,17574540,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Flushing,Queens,11358,40.76991622,-73.79110059,2010,July,7,3,2010-07-03,2010,July,7,6,2010-07-06,NY
9,44067986,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,New_York,Manhattan,10025,40.80162003,-73.96254039,2019,October,10,16,2019-10-16,2019,October,10,17,2019-10-17,NY
10,39572677,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,South_Ozone_Park,Queens,11420,40.68097166,-73.82540728,2018,June,6,26,2018-06-26,2020,April,4,2,2020-04-02,NY
11,36117580,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Springfield_Gardens,Queens,11413,40.67312465,-73.7522966,2017,May,5,5,2017-05-05,2017,August,8,9,2017-08-09,NY
12,36117581,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Fresh_Meadows,Queens,11366,40.73297499,-73.77388599,2017,May,5,5,2017-05-05,2017,May,5,6,2017-05-06,NY
13,44215660,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10465,40.82527525,-73.82249938,2019,November,11,2,2019-11-02,2020,January,1,7,2020-01-07,NY
14,39994471,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10463,40.88159402,-73.9216311,2018,August,8,13,2018-08-13,2020,April,4,6,2020-04-06,NY
15,45248003,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11217,40.67838529,-73.98141116,2019,December,12,26,2019-12-26,2020,January,1,2,2020-01-02,NY
16,36126660,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Saint_Albans,Queens,11412,40.69967439,-73.7664831,2017,May,5,6,2017-05-06,2017,May,5,9,2017-05-09,NY
17,41923298,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,College_Point,Queens,11356,40.78680936,-73.8444314,2019,March,3,10,2019-03-10,2020,March,3,26,2020-03-26,NY
18,36274648,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Ridgewood,Queens,11385,40.71054094,-73.89852723,2017,May,5,24,2017-05-24,2019,June,6,26,2019-06-26,NY
19,36401158,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Jamaica,Queens,11435,40.71614795,-73.81786238,2017,June,6,9,2017-06-09,2019,June,6,14,2019-06-14,NY
20,45249636,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Whitestone,Queens,11357,40.78194613,-73.81330599,2019,December,12,26,2019-12-26,2020,February,2,4,2020-02-04,NY
21,39768389,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Bronx,Bronx,10455,40.81261603,-73.91661862,2018,July,7,18,2018-07-18,2019,July,7,29,2019-07-29,NY
22,40008539,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Whitestone,Queens,11357,40.78667276,-73.82569344,2018,August,8,14,2018-08-14,2020,February,2,26,2020-02-26,NY
23,17576203,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11219,40.62996825,-73.98828773,2010,July,7,4,2010-07-04,2010,July,7,6,2010-07-06,NY
24,36152776,DPR,Department_of_Parks_and_Recreation,Damaged_Tree,Closed,Brooklyn,Brooklyn,11229,40.60532541,-73.95471318,2017,May,5,10,2017-05-10,2018,December,12,10,2018-12-10,NY
