WeatherID,Station,latitude,longitude,Borough,City,State,ZipCode,Temperature_Max,Temperature_Avg,Temperature_M,Dewpot_Max,Dewpot_Avg,Dewpot_M,Humidity_Max,Humidity_Avg,Humidity_M,Wdspeed_Max,Wdspeed_Avg,Wdspeed_M,Pressure_Max,Pressure_M,Precipitation_Total,Level,Weather_Type,Year,Month,Month_Number,Day
0,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,41.2,38.1,33.9,26.9,21.9,16.9,60,51,45,28.4,11.3,1.3,30.1,29.96,0,Level_2,Windy,2016,January,1,1
1,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,39.4,35.2,32.4,19.3,17.5,14,56,48,42,25.3,10.1,0,30.11,29.95,0,Level_1,Windy,2016,January,1,2
2,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,44.7,38.6,34.5,23.5,21.1,19.5,60,49,36,28.4,10.8,1.6,29.97,29.78,0,Level_4,Windy,2016,January,1,3
3,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,35.6,25.9,12.1,23.8,9,-0.8,62,48,31,36.5,10.2,1.1,30.39,29.86,0,Level_1,Windy,2016,January,1,4
4,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,28.8,18.5,10,6.5,-0.2,-6.9,64,45,21,27.5,6.2,0,30.64,30.37,0,Level_1,Windy,2016,January,1,5
5,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,42.1,31.8,21.3,10.9,4,-2.6,53,32,15,17.7,4.7,0,30.6,30.41,0,Level_1,Sunny,2016,January,1,6
6,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,46.7,37.1,28.1,16.1,10.1,3.6,49,33,17,11.6,2.5,0,30.42,30.18,0,Level_2,Sunny,2016,January,1,7
7,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,43.1,37.7,30.4,34,24.5,8.7,72,59,36,23,5.4,0,30.26,30.16,0,Level_2,Windy,2016,January,1,8
8,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,44.7,42.2,38.2,43,37.3,31,94,82,71,25.7,6.5,0,30.23,30.05,0,Level_4,Windy,2016,January,1,9
9,KNYBRONX14,40.8616,-73.8809,Bronx,Botanical_Garden,NY,10458,57.1,49.4,40.3,55.8,43.8,23.5,97,83,46,52.3,14.2,0,30.06,29.29,2,Level_4,Storm,2016,January,1,10
